epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1905,1.93998,5.11585,0.02152,0.11616,0.15004,0.0457,0.01585,2.19922,26.4778,0.0304,0.000661654,0.000661654,0.000661654
2,63.8899,2.16888,3.11902,0.02726,0.20918,0.0795,0.04493,0.01246,2.43242,6.63971,0.03343,0.00131188,0.00131188,0.00131188
3,93.9612,2.21066,3.25019,0.02767,0.24233,0.15652,0.12039,0.03789,2.13374,3.49677,0.0297,0.00194561,0.00194561,0.00194561
4,123.484,2.19055,2.96916,0.02632,0.35208,0.18137,0.18331,0.05794,1.90385,5.80379,0.0258,0.00192575,0.00192575,0.00192575
5,152.335,2.123,2.83364,0.02599,0.37211,0.31801,0.26733,0.07648,1.91911,6.66919,0.02579,0.001901,0.001901,0.001901
6,181.414,2.08004,2.62883,0.02589,0.43087,0.38509,0.34332,0.11742,1.84374,3.07714,0.02386,0.00187625,0.00187625,0.00187625
7,210.712,2.07289,2.49691,0.02439,0.42414,0.30285,0.29012,0.1065,1.85703,3.35809,0.02391,0.0018515,0.0018515,0.0018515
8,240.195,2.00843,2.39968,0.02369,0.4946,0.39752,0.36754,0.13495,1.77251,2.47937,0.02385,0.00182675,0.00182675,0.00182675
9,269.966,1.9829,2.31029,0.02372,0.51524,0.43851,0.41317,0.15963,1.73229,2.13987,0.02231,0.001802,0.001802,0.001802
10,300.105,2.00772,2.31724,0.02499,0.45045,0.46533,0.41802,0.16016,1.76628,2.04698,0.02324,0.00177725,0.00177725,0.00177725
11,329.664,1.95153,2.1582,0.02406,0.51979,0.50186,0.48372,0.19266,1.77173,2.17094,0.0231,0.0017525,0.0017525,0.0017525
12,360.399,1.95186,2.15844,0.02374,0.54806,0.40124,0.42099,0.17228,1.78188,2.09703,0.02341,0.00172775,0.00172775,0.00172775
13,390.787,1.93848,2.07739,0.02311,0.63516,0.49938,0.53919,0.21615,1.68961,2.15097,0.02205,0.001703,0.001703,0.001703
14,420.048,1.91593,1.93619,0.02279,0.64034,0.59006,0.60065,0.26468,1.62063,1.61244,0.02102,0.00167825,0.00167825,0.00167825
15,450.055,1.88165,1.89593,0.02269,0.63517,0.51925,0.57261,0.23725,1.67169,1.58972,0.02125,0.0016535,0.0016535,0.0016535
16,479.757,1.90425,1.9563,0.02267,0.6137,0.53913,0.58626,0.25867,1.64129,1.68002,0.02063,0.00162875,0.00162875,0.00162875
17,509.041,1.83621,1.83836,0.02286,0.64872,0.57391,0.61812,0.28232,1.64661,1.6398,0.02057,0.001604,0.001604,0.001604
18,538.411,1.85765,1.78667,0.02118,0.62687,0.55901,0.6016,0.26394,1.61244,1.66121,0.02022,0.00157925,0.00157925,0.00157925
19,567.56,1.81904,1.71838,0.02105,0.65838,0.54534,0.58316,0.25235,1.59743,1.66261,0.02045,0.0015545,0.0015545,0.0015545
20,596.595,1.80064,1.75454,0.02099,0.68784,0.5354,0.59047,0.26924,1.57249,1.64522,0.0202,0.00152975,0.00152975,0.00152975
21,625.635,1.79116,1.65872,0.02129,0.70369,0.60181,0.67248,0.30159,1.61449,1.31117,0.02052,0.001505,0.001505,0.001505
22,655.019,1.7836,1.69283,0.02208,0.68475,0.59627,0.67442,0.30417,1.53776,1.64829,0.01961,0.00148025,0.00148025,0.00148025
