epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.487,1.96443,3.04009,1.89131,0.26984,0.16149,0.10954,0.03722,1.9042,22.4236,1.95594,0.000661654,0.000661654,0.000661654
2,22.2744,1.98359,2.61017,1.98864,0.362,0.2882,0.23352,0.08084,1.99765,4.22727,1.96648,0.00131955,0.00131955,0.00131955
3,31.798,2.05749,2.53071,2.07172,0.3485,0.22726,0.1836,0.07193,2.04299,9.32651,1.92794,0.00196865,0.00196865,0.00196865
4,40.9639,2.02138,2.36535,2.01848,0.43844,0.32547,0.32746,0.12389,1.8165,25.5106,1.83594,0.0019604,0.0019604,0.0019604
5,50.0625,1.98951,2.28674,1.99145,0.55091,0.41242,0.44509,0.17744,1.73759,8.61825,1.7062,0.0019472,0.0019472,0.0019472
6,59.3668,1.91728,2.15223,1.9501,0.49733,0.49068,0.4978,0.20508,1.72666,4.50948,1.68222,0.001934,0.001934,0.001934
7,68.6341,1.90887,2.05528,1.87975,0.58807,0.49441,0.51773,0.21719,1.6255,4.89321,1.59924,0.0019208,0.0019208,0.0019208
8,77.8043,1.84147,1.97643,1.84216,0.61447,0.51056,0.53756,0.23638,1.58596,3.65628,1.59026,0.0019076,0.0019076,0.0019076
9,86.9349,1.82103,1.91907,1.82815,0.59415,0.45217,0.48899,0.20102,1.71279,2.58847,1.67708,0.0018944,0.0018944,0.0018944
10,96.1757,1.81683,1.94151,1.86294,0.59283,0.44099,0.4836,0.20556,1.70362,2.70529,1.71439,0.0018812,0.0018812,0.0018812
11,105.335,1.77152,1.83096,1.83085,0.71336,0.54161,0.64013,0.29841,1.56367,2.77439,1.5729,0.001868,0.001868,0.001868
12,114.309,1.75219,1.77994,1.80659,0.65619,0.57139,0.61169,0.26009,1.61689,4.92943,1.59148,0.0018548,0.0018548,0.0018548
13,123.347,1.71446,1.69122,1.7569,0.71146,0.55776,0.65193,0.30288,1.53865,2.93796,1.53891,0.0018416,0.0018416,0.0018416
14,132.543,1.72875,1.70942,1.77221,0.68002,0.58873,0.6611,0.3105,1.52999,3.10472,1.5508,0.0018284,0.0018284,0.0018284
15,141.672,1.67827,1.66286,1.7518,0.7428,0.60373,0.67667,0.32088,1.51812,2.92676,1.53508,0.0018152,0.0018152,0.0018152
16,150.559,1.70035,1.65015,1.76714,0.6311,0.53913,0.57439,0.25224,1.67328,2.37951,1.64191,0.001802,0.001802,0.001802
17,159.481,1.67204,1.63416,1.73205,0.68627,0.60994,0.64735,0.30304,1.5521,3.43652,1.53766,0.0017888,0.0017888,0.0017888
18,168.781,1.66646,1.59922,1.7007,0.72253,0.6236,0.67992,0.32224,1.50322,2.83716,1.52045,0.0017756,0.0017756,0.0017756
19,177.92,1.63738,1.50636,1.68397,0.71985,0.56522,0.64323,0.30169,1.59376,3.06413,1.56333,0.0017624,0.0017624,0.0017624
